ID,Name,Description,ColumnSpec,CLTS_ID
226,χː,,,long_voiceless_uvular_fricative_consonant
227,yː,,,long_rounded_close_front_vowel
228,bʲ,,,palatalized_voiced_bilabial_stop_consonant
229,tʃʲ,,,palatalized_voiceless_post-alveolar_sibilant_affricate_consonant
230,yø,,,from_rounded_close_front_to_rounded_close-mid_front_diphthong
231,ǂχ,,,from_voiceless_palatal_click_to_voiceless_uvular_fricative_cluster
232,ɪə,,,from_unrounded_near-close_near-front_to_unrounded_mid_central_diphthong
233,qʼʷ,,,labialized_voiceless_uvular_ejective_stop_consonant
234,l̩,,,syllabic_voiced_alveolar_lateral_approximant_consonant
235,æ̃,,,nasalized_unrounded_near-open_front_vowel
236,ɑi,,,from_unrounded_open_back_to_unrounded_close_front_diphthong
237,ʘ,,,voiceless_labial_click_consonant
238,ǃχ,,,from_voiceless_alveolar_click_to_voiceless_uvular_fricative_cluster
239,gb,,,voiced_velar-and-bilabial_stop_consonant
240,r̩,,,syllabic_voiced_alveolar_trill_consonant
241,ŋ̊,,,devoiced_voiced_velar_nasal_consonant
242,oˤ,,,pharyngealized_rounded_close-mid_back_vowel
243,ɔɪ,,,from_rounded_open-mid_back_to_unrounded_near-close_near-front_diphthong
244,ǀʰ,,,aspirated_voiceless_dental_click_consonant
245,tʃʷ,,,labialized_voiceless_post-alveolar_sibilant_affricate_consonant
246,fʲ,,,palatalized_voiceless_labio-dental_fricative_consonant
247,pʲʰ,,,palatalized_aspirated_voiceless_bilabial_stop_consonant
248,ǃqχʼ,,,from_voiceless_alveolar_click_to_voiceless_uvular_ejective_affricate_cluster
249,oi,,,from_rounded_close-mid_back_to_unrounded_close_front_diphthong
250,dː,,,long_voiced_alveolar_stop_consonant
251,kʷː,,,labialized_long_voiceless_velar_stop_consonant
252,ɖʐ,,,voiced_retroflex_sibilant_affricate_consonant
253,ŋː,,,long_voiced_velar_nasal_consonant
254,mp,,,from_voiced_bilabial_nasal_to_voiceless_bilabial_stop_cluster
255,øː,,,long_rounded_close-mid_front_vowel
256,õː,,,long_nasalized_rounded_close-mid_back_vowel
257,ǂʼ,,,voiceless_palatal_ejective_click_consonant
258,nʷ,,,labialized_voiced_alveolar_nasal_consonant
259,ẽː,,,long_nasalized_unrounded_close-mid_front_vowel
260,ǂʰ,,,aspirated_voiceless_palatal_click_consonant
261,ǁq,,,from_voiceless_alveolar_lateral_click_to_voiceless_uvular_stop_cluster
262,ɑ̃,,,nasalized_unrounded_open_back_vowel
263,ǂq,,,from_voiceless_palatal_click_to_voiceless_uvular_stop_cluster
264,fʷ,,,labialized_voiceless_labio-dental_fricative_consonant
265,ʃʼ,,,voiceless_post-alveolar_ejective_sibilant_fricative_consonant
266,lʱ,,,breathy_voiced_alveolar_lateral_approximant_consonant
267,zʲ,,,palatalized_voiced_alveolar_sibilant_fricative_consonant
268,kʷʰ,,,labialized_aspirated_voiceless_velar_stop_consonant
269,ǃ̬,,,revoiced_voiceless_alveolar_click_consonant
270,ǃqʰ,,,from_voiceless_alveolar_click_to_aspirated_voiceless_uvular_stop_cluster
271,ǁqχʼ,,,from_voiceless_alveolar_lateral_click_to_voiceless_uvular_ejective_affricate_cluster
272,tʃʼʷ,,,labialized_voiceless_post-alveolar_ejective_sibilant_affricate_consonant
273,tʃʷː,,,labialized_long_voiceless_post-alveolar_sibilant_affricate_consonant
274,ǃq,,,from_voiceless_alveolar_click_to_voiceless_uvular_stop_cluster
275,lʷ,,,labialized_voiced_alveolar_lateral_approximant_consonant
276,ɛ̃ː,,,long_nasalized_unrounded_open-mid_front_vowel
277,tʷ,,,labialized_voiceless_alveolar_stop_consonant
278,ǂ̬,,,revoiced_voiceless_palatal_click_consonant
279,rʷ,,,labialized_voiced_alveolar_trill_consonant
280,ɗʲ,,,palatalized_voiced_dental_implosive_consonant
281,sʼ,,,voiceless_alveolar_ejective_sibilant_fricative_consonant
282,ɲ̊,,,devoiced_voiced_palatal_nasal_consonant
283,nʱ,,,breathy_voiced_alveolar_nasal_consonant
284,ɹ̝ː,,,raised_long_voiced_alveolar_approximant_consonant
285,ŋ̍,,,syllabic_voiced_velar_nasal_consonant
286,sʷ,,,labialized_voiceless_alveolar_sibilant_fricative_consonant
287,cʰ,,,aspirated_voiceless_palatal_stop_consonant
288,ʉ̃ː,,,long_nasalized_rounded_close_central_vowel
289,eiː,,,from_unrounded_close-mid_front_to_long_unrounded_close_front_diphthong
290,jː,,,long_voiced_palatal_approximant_consonant
291,ǀχ,,,from_voiceless_dental_click_to_voiceless_uvular_fricative_cluster
292,h̃,,,nasalized_voiceless_glottal_fricative_consonant
293,ʃʲ,,,palatalized_voiceless_post-alveolar_sibilant_fricative_consonant
294,ə̃ː,,,long_nasalized_unrounded_mid_central_vowel
295,dʷ,,,labialized_voiced_alveolar_stop_consonant
296,rː,,,long_voiced_alveolar_trill_consonant
297,vʲ,,,palatalized_voiced_labio-dental_fricative_consonant
298,ʒʷ,,,labialized_voiced_post-alveolar_sibilant_fricative_consonant
299,ʁʲ,,,palatalized_voiced_uvular_fricative_consonant
300,ɔ̃ː,,,long_nasalized_rounded_open-mid_back_vowel
301,ǂqʰ,,,from_voiceless_palatal_click_to_aspirated_voiceless_uvular_stop_cluster
302,ǀqʰ,,,from_voiceless_dental_click_to_aspirated_voiceless_uvular_stop_cluster
303,ṽ,,,nasalized_voiced_labio-dental_fricative_consonant
304,wː,,,long_voiced_labio-velar_approximant_consonant
305,ʃʲʰ,,,palatalized_aspirated_voiceless_post-alveolar_sibilant_fricative_consonant
306,χʼ,,,voiceless_uvular_ejective_fricative_consonant
307,ǃʰ,,,aspirated_voiceless_alveolar_click_consonant
308,xː,,,long_voiceless_velar_fricative_consonant
309,dzʷ,,,labialized_voiced_alveolar_sibilant_affricate_consonant
310,ɔʊ,,,from_rounded_open-mid_back_to_rounded_near-close_near-back_diphthong
311,ɑiː,,,from_unrounded_open_back_to_long_unrounded_close_front_diphthong
312,ǁqʰ,,,from_voiceless_alveolar_lateral_click_to_aspirated_voiceless_uvular_stop_cluster
313,dʲː,,,palatalized_long_voiced_alveolar_stop_consonant
314,cː,,,long_voiceless_palatal_stop_consonant
315,tʷʰ,,,labialized_aspirated_voiceless_alveolar_stop_consonant
316,sʷʰ,,,labialized_aspirated_voiceless_alveolar_sibilant_fricative_consonant
317,ɓʲ,,,palatalized_voiced_bilabial_implosive_consonant
318,ʊə,,,from_rounded_near-close_near-back_to_unrounded_mid_central_diphthong
319,θː,,,long_voiceless_dental_fricative_consonant
320,ʁʷ,,,labialized_voiced_uvular_fricative_consonant
321,əːe,,,from_long_unrounded_mid_central_to_unrounded_close-mid_front_diphthong
322,tt,,,from_voiceless_alveolar_stop_to_voiceless_alveolar_stop_cluster
323,χʷː,,,labialized_long_voiceless_uvular_fricative_consonant
324,ǂqχʼ,,,from_voiceless_palatal_click_to_voiceless_uvular_ejective_affricate_cluster
325,zʷ,,,labialized_voiced_alveolar_sibilant_fricative_consonant
326,tʲː,,,palatalized_long_voiceless_alveolar_stop_consonant
327,ɸː,,,long_voiceless_bilabial_fricative_consonant
328,ɗʷ,,,labialized_voiced_dental_implosive_consonant
329,ʘq,,,from_voiceless_labial_click_to_voiceless_uvular_stop_cluster
330,ʘʼ,,,voiceless_labial_ejective_click_consonant
331,ɕː,,,long_voiceless_alveolo-palatal_sibilant_fricative_consonant
332,eˤ,,,pharyngealized_unrounded_close-mid_front_vowel
333,ʘ̃,,,nasalized_voiceless_labial_click_consonant
334,ʘχ,,,from_voiceless_labial_click_to_voiceless_uvular_fricative_cluster
335,ɲː,,,long_voiced_palatal_nasal_consonant
